"term_type","parameter","Arm Torque
(integral)","Arm Torque
(peak mean)","Envelope
(integral)","Envelope
(peak mean)","COP
(integral)","COP
(peak mean)"
"model_info","— Model Information —","","","","","",""
"model_info","R²","0.549 [0.513, 0.583]","0.266 [0.236, 0.297]","0.574 [0.542, 0.604]","0.509 [0.479, 0.538]","0.558 [0.509, 0.607]","0.464 [0.429, 0.499]"
"model_info","formula","arm_moment_sum_change_integral ~ 1 + correction * baseline_torque_cum_z + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + expressibility_z + correction + modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","arm_moment_sum_change_peak_mean ~ 1 + correction * baseline_torque_in_z + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + BFI_extra + Familiarity || SessionID) + (1 + correction + modality || concept)","envelope_norm_integral ~ 1 + correction * baseline_env_cum_z + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","envelope_norm_peak_mean ~ 1 + correction * baseline_env_in_z + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","COPc_integral ~ 1 + correction * baseline_cop_cum_z + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","COPc_peak_mean ~ 1 + correction * baseline_cop_in_z + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_obs","2495","2495","3184","3184","4428","4428"
"fixed","— Fixed Effects —","","","","","",""
"fixed","BFI_extra","3.3% [-0.4%, 7.2%] (β = 0.032 [-0.004, 0.07])","0.8% [-1.3%, 3%] (β = 0.008 [-0.013, 0.029])","0.8% [-2.5%, 4.2%] (β = 0.008 [-0.026, 0.042])","2.8% [-1.3%, 6.9%] (β = 0.027 [-0.013, 0.067])","2% [-2.7%, 6.9%] (β = 0.02 [-0.027, 0.066])","1.8% [-0.9%, 4.7%] (β = 0.018 [-0.01, 0.046])"
"fixed","Familiarity","0.9% [-3.3%, 5.3%] (β = 0.009 [-0.034, 0.052])","-1% [-2.9%, 1%] (β = -0.01 [-0.029, 0.01])","0% [-3.5%, 3.8%] (β = 0 [-0.036, 0.037])","-1.5% [-5.4%, 2.6%] (β = -0.015 [-0.055, 0.025])","-0.1% [-4.9%, 5.1%] (β = -0.001 [-0.05, 0.05])","0.7% [-2%, 3.5%] (β = 0.007 [-0.02, 0.035])"
"fixed","TrialNumber_c","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002])","0% [-0.1%, 0%] (β = 0 [-0.001, 0])","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002]) *","0.2% [0%, 0.3%] (β = 0.002 [0, 0.003]) *","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002]) *","0.1% [0%, 0.1%] (β = 0.001 [0, 0.001]) *"
"fixed","baseline_cop_cum_z","—","—","—","—","47.3% [40.1%, 54.7%] (β = 0.387 [0.337, 0.436]) *","—"
"fixed","baseline_cop_in_z","—","—","—","—","—","27.2% [23.8%, 30.7%] (β = 0.241 [0.213, 0.267]) *"
"fixed","baseline_env_cum_z","—","—","42.4% [37.7%, 47.4%] (β = 0.354 [0.32, 0.388]) *","—","—","—"
"fixed","baseline_env_in_z","—","—","—","29.9% [24.9%, 35.2%] (β = 0.262 [0.222, 0.302]) *","—","—"
"fixed","baseline_torque_cum_z","40.5% [34.5%, 46.7%] (β = 0.34 [0.296, 0.383]) *","—","—","—","—","—"
"fixed","baseline_torque_in_z","—","16.1% [13.8%, 18.6%] (β = 0.15 [0.129, 0.17]) *","—","—","—","—"
"fixed","correction2M1","20.6% [14.9%, 26.6%] (β = 0.187 [0.139, 0.236]) *","3.1% [-0.6%, 6.9%] (β = 0.03 [-0.006, 0.067])","11.6% [7.5%, 15.8%] (β = 0.11 [0.073, 0.147]) *","-5.4% [-10.3%, -0.3%] (β = -0.056 [-0.108, -0.003]) *","12.9% [8.6%, 17.3%] (β = 0.121 [0.082, 0.16]) *","-2.6% [-5.5%, 0.3%] (β = -0.027 [-0.057, 0.003])"
"fixed","correction2M1:baseline_cop_cum_z","—","—","—","—","-1.8% [-5.3%, 1.8%] (β = -0.019 [-0.055, 0.018])","—"
"fixed","correction2M1:baseline_cop_in_z","—","—","—","—","—","-4.4% [-7.1%, -1.7%] (β = -0.045 [-0.074, -0.017]) *"
"fixed","correction2M1:baseline_env_cum_z","—","—","-2.1% [-5.5%, 1.4%] (β = -0.021 [-0.057, 0.014])","—","—","—"
"fixed","correction2M1:baseline_env_in_z","—","—","—","-10.7% [-14.9%, -6.3%] (β = -0.113 [-0.161, -0.065]) *","—","—"
"fixed","correction2M1:baseline_torque_cum_z","-2% [-6.7%, 3%] (β = -0.021 [-0.069, 0.029])","—","—","—","—","—"
"fixed","correction2M1:baseline_torque_in_z","—","-6.2% [-9.4%, -2.9%] (β = -0.065 [-0.099, -0.029]) *","—","—","—","—"
"fixed","correction3M2","14.8% [7.9%, 22.3%] (β = 0.138 [0.076, 0.201]) *","1.1% [-3.6%, 6.1%] (β = 0.011 [-0.037, 0.059])","7.3% [2.9%, 11.9%] (β = 0.071 [0.029, 0.113]) *","-1.6% [-6.8%, 4.1%] (β = -0.016 [-0.071, 0.04])","10% [5.1%, 15.1%] (β = 0.096 [0.05, 0.141]) *","1.9% [-1.6%, 5.4%] (β = 0.018 [-0.017, 0.053])"
"fixed","correction3M2:baseline_cop_cum_z","—","—","—","—","-0.4% [-4.8%, 4.2%] (β = -0.004 [-0.049, 0.041])","—"
"fixed","correction3M2:baseline_cop_in_z","—","—","—","—","—","1.9% [-1.6%, 5.5%] (β = 0.019 [-0.016, 0.054])"
"fixed","correction3M2:baseline_env_cum_z","—","—","-1.1% [-5.1%, 3.1%] (β = -0.011 [-0.052, 0.031])","—","—","—"
"fixed","correction3M2:baseline_env_in_z","—","—","—","3.3% [-2.3%, 9.4%] (β = 0.033 [-0.024, 0.09])","—","—"
"fixed","correction3M2:baseline_torque_cum_z","-2.5% [-8.5%, 3.9%] (β = -0.025 [-0.089, 0.039])","—","—","—","—","—"
"fixed","correction3M2:baseline_torque_in_z","—","-3.5% [-8%, 1.2%] (β = -0.035 [-0.083, 0.012])","—","—","—","—"
"fixed","expressibility_z","-8.3% [-14.9%, -1.2%] (β = -0.086 [-0.161, -0.012]) *","1.8% [-1.4%, 5.1%] (β = 0.018 [-0.014, 0.05])","-8.7% [-13.3%, -3.9%] (β = -0.091 [-0.142, -0.04]) *","-13.3% [-19.3%, -6.8%] (β = -0.143 [-0.214, -0.07]) *","-4.8% [-10.5%, 1.2%] (β = -0.049 [-0.111, 0.011])","3.2% [-1%, 7.6%] (β = 0.032 [-0.01, 0.073])"
"fixed","modality1","5.6% [-1.6%, 13.4%] (β = 0.054 [-0.016, 0.125])","-0.9% [-5.3%, 3.8%] (β = -0.009 [-0.054, 0.037])","16.7% [9.7%, 24.2%] (β = 0.155 [0.092, 0.217]) *","26.3% [16.1%, 37.2%] (β = 0.233 [0.149, 0.316]) *","57.1% [43.4%, 72.4%] (β = 0.452 [0.36, 0.545]) *","28.8% [20.7%, 37.7%] (β = 0.253 [0.188, 0.32]) *"
"fixed","modality2","—","—","—","—","67.5% [52.4%, 83.7%] (β = 0.516 [0.421, 0.608]) *","49.1% [39.1%, 59.8%] (β = 0.399 [0.33, 0.469]) *"
"fixed","Intercept","82639.5 [75302.7, 90518.4] (β = 11.322 [11.229, 11.413]) *","22.6 [21.8, 23.5] (β = 3.119 [3.084, 3.155]) *","235.7 [219.9, 253.1] (β = 5.463 [5.393, 5.534]) *","0.1 [0.1, 0.1] (β = -2.005 [-2.113, -1.899]) *","2961.8 [2698.8, 3250.3] (β = 7.994 [7.901, 8.087]) *","1.2 [1.1, 1.3] (β = 0.188 [0.12, 0.256]) *"
"random_sd","— Random Effect SDs —","","","","","",""
"random_sd","sd() | residual__","0.471 [0.456, 0.487]","0.361 [0.35, 0.372]","0.408 [0.397, 0.42]","0.547 [0.533, 0.563]","0.5 [0.488, 0.511]","0.382 [0.373, 0.391]"
"random_sd","sd(BFI_extra) | SessionID","0.046 [0.002, 0.112]","0.038 [0.004, 0.073]","0.03 [0.001, 0.079]","0.046 [0.002, 0.108]","0.05 [0.002, 0.126]","0.031 [0.002, 0.076]"
"random_sd","sd(Familiarity) | SessionID","0.051 [0.002, 0.12]","0.017 [0.001, 0.046]","0.048 [0.003, 0.103]","0.03 [0.001, 0.082]","0.051 [0.002, 0.129]","0.026 [0.001, 0.068]"
"random_sd","sd(Intercept) | SessionID","0.097 [0.013, 0.161]","0.023 [0.001, 0.055]","0.032 [0.001, 0.085]","0.042 [0.002, 0.103]","0.084 [0.005, 0.169]","0.03 [0.001, 0.074]"
"random_sd","sd(Intercept) | concept","0.361 [0.306, 0.427]","0.129 [0.104, 0.159]","0.28 [0.238, 0.331]","0.461 [0.393, 0.542]","0.363 [0.31, 0.427]","0.291 [0.247, 0.341]"
"random_sd","sd(Intercept) | pcn_ID","0.108 [0.042, 0.164]","0.017 [0.001, 0.047]","0.139 [0.108, 0.171]","0.152 [0.112, 0.191]","0.197 [0.152, 0.243]","0.111 [0.083, 0.137]"
"random_sd","sd(correction2M1) | concept","0.031 [0.001, 0.087]","0.031 [0.001, 0.079]","0.04 [0.002, 0.093]","0.098 [0.014, 0.171]","0.039 [0.002, 0.097]","0.044 [0.003, 0.088]"
"random_sd","sd(correction2M1) | pcn_ID","0.061 [0.003, 0.134]","0.016 [0.001, 0.044]","0.04 [0.002, 0.095]","0.026 [0.001, 0.071]","0.042 [0.002, 0.099]","0.02 [0.001, 0.053]"
