"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","R2","0.017 [0.011, 0.025]","0.515 [0.481, 0.549]","0.573 [0.541, 0.604]","0.569 [0.536, 0.6]","0.551 [0.518, 0.582]"
"model_info","formula","envelope_norm_integral ~ 1 + correction","envelope_norm_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","envelope_norm_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + BFI_extra + Familiarity | SessionID) + (1 + correction + modality | concept)","envelope_norm_integral ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","envelope_norm_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + correction:modality + correction:expressibility_z + modality:expressibility_z + correction:BFI_extra + correction:Familiarity + (1 + correction + modality + correction:modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_obs","3184","3184","3184","3184","3184"
"fixed","Intercept","5.483 [5.459, 5.507] *","5.472 [5.37, 5.577] *","5.467 [5.364, 5.569] *","5.466 [5.361, 5.569] *","5.476 [5.375, 5.579] *"
"fixed","BFI_extra","—","0.056 [-0.011, 0.122]","0.066 [-0.001, 0.134]","0.059 [-0.011, 0.13]","0.056 [-0.015, 0.128]"
"fixed","Familiarity","—","-0.055 [-0.133, 0.022]","-0.05 [-0.134, 0.033]","-0.049 [-0.132, 0.034]","-0.05 [-0.133, 0.033]"
"fixed","TrialNumber_c","—","0.001 [0.001, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *"
"fixed","correction2M1","0.165 [0.113, 0.218] *","0.118 [0.077, 0.158] *","0.111 [0.072, 0.149] *","0.11 [0.071, 0.148] *","0.106 [0.066, 0.146] *"
"fixed","correction2M1:BFI_extra","—","—","—","—","-0.007 [-0.045, 0.031]"
"fixed","correction2M1:Familiarity","—","—","—","—","0.043 [0.006, 0.08] *"
"fixed","correction2M1:expressibility_z","—","—","—","—","0.004 [-0.04, 0.048]"
"fixed","correction2M1:modality1","—","—","—","—","0.017 [-0.056, 0.09]"
"fixed","correction3M2","0.095 [0.032, 0.159] *","0.066 [0.021, 0.11] *","0.072 [0.029, 0.115] *","0.07 [0.028, 0.113] *","0.09 [0.042, 0.138] *"
"fixed","correction3M2:BFI_extra","—","—","—","—","-0.001 [-0.043, 0.041]"
"fixed","correction3M2:Familiarity","—","—","—","—","-0.052 [-0.095, -0.009] *"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.04 [-0.013, 0.092]"
"fixed","correction3M2:modality1","—","—","—","—","-0.061 [-0.152, 0.03]"
"fixed","expressibility_z","—","-0.102 [-0.138, -0.067] *","-0.098 [-0.152, -0.045] *","-0.092 [-0.145, -0.041] *","-0.117 [-0.169, -0.064] *"
"fixed","modality1","—","0.145 [0.111, 0.179] *","0.151 [0.089, 0.214] *","0.154 [0.09, 0.218] *","0.14 [0.074, 0.205] *"
"fixed","modality1:expressibility_z","—","—","—","—","0.092 [0.016, 0.168] *"
"random_sd","sd() | residual__","0.656 [0.64, 0.672]","0.435 [0.423, 0.446]","0.407 [0.396, 0.418]","0.407 [0.396, 0.418]","0.415 [0.404, 0.426]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.053 [0.002, 0.151]","0.061 [0.002, 0.165]","0.062 [0.003, 0.169]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.112 [0.009, 0.226]","0.1 [0.005, 0.22]","0.099 [0.006, 0.22]"
