"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","R2","0.001 [0, 0.005]","0.213 [0.185, 0.242]","0.252 [0.221, 0.283]","0.253 [0.222, 0.284]","0.255 [0.225, 0.286]"
"model_info","formula","arm_moment_sum_change_peak_mean ~ 1 + correction","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + BFI_extra + Familiarity | SessionID) + (1 + correction + modality | concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + BFI_extra + Familiarity || SessionID) + (1 + correction + modality || concept)","arm_moment_sum_change_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + correction:modality + correction:expressibility_z + modality:expressibility_z + correction:BFI_extra + correction:Familiarity + (1 + correction + modality + correction:modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_obs","2495","2495","2495","2495","2495"
"fixed","Intercept","3.106 [3.087, 3.125] *","3.125 [3.074, 3.175] *","3.126 [3.076, 3.176] *","3.126 [3.076, 3.176] *","3.13 [3.078, 3.181] *"
"fixed","BFI_extra","—","-0.017 [-0.05, 0.017]","-0.012 [-0.053, 0.029]","-0.014 [-0.053, 0.027]","-0.012 [-0.053, 0.029]"
"fixed","Familiarity","—","-0.032 [-0.07, 0.006]","-0.025 [-0.064, 0.013]","-0.028 [-0.067, 0.01]","-0.032 [-0.072, 0.007]"
"fixed","TrialNumber_c","—","0 [-0.001, 0]","0 [-0.001, 0]","0 [-0.001, 0]","0 [-0.001, 0]"
"fixed","correction2M1","0.019 [-0.02, 0.058]","0.035 [-0.002, 0.073]","0.036 [-0.001, 0.073]","0.037 [0, 0.074]","0.037 [-0.001, 0.075]"
"fixed","correction2M1:BFI_extra","—","—","—","—","0.012 [-0.024, 0.048]"
"fixed","correction2M1:Familiarity","—","—","—","—","-0.019 [-0.055, 0.018]"
"fixed","correction2M1:expressibility_z","—","—","—","—","0.008 [-0.03, 0.045]"
"fixed","correction2M1:modality1","—","—","—","—","-0.048 [-0.119, 0.023]"
"fixed","correction3M2","0.013 [-0.039, 0.067]","0.02 [-0.028, 0.069]","0.016 [-0.032, 0.064]","0.016 [-0.033, 0.065]","0.022 [-0.03, 0.074]"
"fixed","correction3M2:BFI_extra","—","—","—","—","-0.011 [-0.058, 0.035]"
"fixed","correction3M2:Familiarity","—","—","—","—","0.002 [-0.044, 0.049]"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.016 [-0.035, 0.065]"
"fixed","correction3M2:modality1","—","—","—","—","0.081 [-0.014, 0.173]"
"fixed","expressibility_z","—","0.018 [-0.015, 0.05]","0.019 [-0.016, 0.053]","0.02 [-0.014, 0.054]","0.021 [-0.014, 0.057]"
