"term_type","parameter","Arm Torque
(integral)","Arm Torque
(peak mean)","Envelope
(integral)","Envelope
(peak mean)","COP
(integral)","COP
(peak mean)"
"model_info","— Model Information —","","","","","",""
"model_info","R²","0.605 [0.565, 0.639]","0.226 [0.176, 0.278]","0.648 [0.624, 0.672]","0.567 [0.531, 0.598]","0.623 [0.564, 0.658]","0.61 [0.556, 0.657]"
"model_info","formula","arm_moment_sum_change_integral ~ 1 + answer_prev_dist_z + effort_previous_moment_integral_z + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + answer_prev_dist_z + expressibility_z + correction + modality || pcn_ID) + (1 + answer_prev_dist_z + Familiarity + BFI_extra || SessionID) + (1 + answer_prev_dist_z + correction + modality || concept)","arm_moment_sum_change_peak_mean ~ 1 + answer_prev_dist_z + effort_previous_moment_peak_mean_z + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + answer_prev_dist_z + expressibility_z + correction + modality || pcn_ID) + (1 + answer_prev_dist_z + Familiarity + BFI_extra || SessionID) + (1 + answer_prev_dist_z + correction + modality || concept)","envelope_norm_integral ~ 1 + answer_prev_dist_z + effort_previous_envelope_norm_integral_z + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + answer_prev_dist_z + correction + modality + expressibility_z || pcn_ID) + (1 + answer_prev_dist_z + Familiarity + BFI_extra || SessionID) + (1 + answer_prev_dist_z + correction + modality || concept)","envelope_norm_peak_mean ~ 1 + answer_prev_dist_z + effort_previous_envelope_norm_peak_mean_z + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + answer_prev_dist_z + correction + modality + expressibility_z || pcn_ID) + (1 + answer_prev_dist_z + Familiarity + BFI_extra || SessionID) + (1 + answer_prev_dist_z + correction + modality || concept)","COPc_peak_mean ~ 1 + answer_prev_dist_z + effort_previous_COPc_integral_z + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + answer_prev_dist_z + correction + modality + expressibility_z || pcn_ID) + (1 + answer_prev_dist_z + Familiarity + BFI_extra || SessionID) + (1 + answer_prev_dist_z + correction + modality || concept)","COPc_peak_mean ~ 1 + answer_prev_dist_z + effort_previous_COPc_peak_mean_z + correction + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + answer_prev_dist_z + correction + modality + expressibility_z || pcn_ID) + (1 + answer_prev_dist_z + Familiarity + BFI_extra || SessionID) + (1 + answer_prev_dist_z + correction + modality || concept)"
"model_info","n_obs","993","993","1589","1589","2089","2089"
"fixed","— Fixed Effects —","","","","","",""
"fixed","BFI_extra","2.2% [-3.8%, 8.8%] (β = 0.021 [-0.039, 0.084])","-0.3% [-4.3%, 4%] (β = -0.003 [-0.044, 0.039])","4% [-1.7%, 10.1%] (β = 0.039 [-0.017, 0.096])","2.3% [-2.8%, 7.7%] (β = 0.023 [-0.028, 0.074])","2.7% [-1.4%, 7.1%] (β = 0.027 [-0.014, 0.069])","2.9% [-0.9%, 6.9%] (β = 0.029 [-0.009, 0.067])"
"fixed","Familiarity","0.8% [-7%, 9.1%] (β = 0.008 [-0.072, 0.087])","-3.6% [-7.3%, 0.3%] (β = -0.036 [-0.076, 0.003])","-2.1% [-8.1%, 4.2%] (β = -0.022 [-0.084, 0.041])","-3.3% [-8.2%, 1.9%] (β = -0.034 [-0.086, 0.018])","0.2% [-4.3%, 5.1%] (β = 0.002 [-0.044, 0.05])","0.6% [-3.6%, 5.1%] (β = 0.006 [-0.037, 0.05])"
"fixed","TrialNumber_c","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002])","0% [-0.1%, 0.1%] (β = 0 [-0.001, 0.001])","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002])","0% [-0.1%, 0.2%] (β = 0 [-0.001, 0.002])","0% [-0.1%, 0.1%] (β = 0 [-0.001, 0.001])","0% [0%, 0.1%] (β = 0 [0, 0.001])"
"fixed","answer_prev_dist_z","-7.5% [-11.3%, -3.5%] (β = -0.078 [-0.12, -0.036]) *","-2.5% [-5.4%, 0.5%] (β = -0.026 [-0.056, 0.005])","-1.6% [-4.5%, 1.4%] (β = -0.017 [-0.046, 0.014])","0.8% [-3%, 4.6%] (β = 0.008 [-0.03, 0.045])","0.4% [-2.2%, 3.2%] (β = 0.004 [-0.022, 0.031])","0.3% [-2.2%, 2.8%] (β = 0.003 [-0.022, 0.027])"
"fixed","correction2M1","9.9% [2.6%, 17.5%] (β = 0.094 [0.025, 0.161]) *","0.9% [-4.4%, 6.5%] (β = 0.009 [-0.045, 0.063])","4.3% [-0.4%, 9.1%] (β = 0.042 [-0.004, 0.087])","-1.2% [-6.8%, 4.7%] (β = -0.012 [-0.07, 0.046])","0.2% [-3.2%, 3.7%] (β = 0.002 [-0.032, 0.036])","2.8% [-0.6%, 6.4%] (β = 0.028 [-0.006, 0.062])"
