"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","R2","0.001 [0, 0.003]","0.411 [0.374, 0.45]","0.526 [0.477, 0.577]","0.524 [0.475, 0.574]","0.517 [0.47, 0.564]"
"model_info","formula","COPc_integral ~ 1 + correction","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + Familiarity + BFI_extra | SessionID) + (1 + correction + modality | concept)","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","COPc_integral ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + correction:modality + correction:expressibility_z + modality:expressibility_z + correction:BFI_extra + correction:Familiarity + (1 + correction + modality + correction:modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_obs","4428","4428","4428","4428","4428"
"fixed","Intercept","7.87 [7.843, 7.897] *","7.993 [7.865, 8.124] *","7.997 [7.868, 8.127] *","7.992 [7.86, 8.128] *","7.997 [7.865, 8.13] *"
"fixed","BFI_extra","—","0.078 [0.009, 0.147] *","0.078 [0.007, 0.151] *","0.087 [0.015, 0.157] *","0.084 [0.011, 0.157] *"
"fixed","Familiarity","—","0.011 [-0.082, 0.104]","0.019 [-0.082, 0.119]","0.015 [-0.085, 0.114]","0.011 [-0.089, 0.112]"
"fixed","TrialNumber_c","—","0.001 [0, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *","0.001 [0, 0.002] *"
"fixed","correction2M1","0.082 [0.023, 0.142] *","0.13 [0.087, 0.174] *","0.121 [0.081, 0.16] *","0.121 [0.082, 0.16] *","0.124 [0.083, 0.165] *"
"fixed","correction2M1:BFI_extra","—","—","—","—","-0.01 [-0.047, 0.027]"
"fixed","correction2M1:Familiarity","—","—","—","—","0.014 [-0.023, 0.052]"
"fixed","correction2M1:expressibility_z","—","—","—","—","0.006 [-0.037, 0.051]"
"fixed","correction2M1:modality1","—","—","—","—","0.042 [-0.066, 0.151]"
"fixed","correction2M1:modality2","—","—","—","—","0.011 [-0.098, 0.12]"
"fixed","correction3M2","0.014 [-0.059, 0.088]","0.093 [0.041, 0.146] *","0.095 [0.048, 0.142] *","0.096 [0.049, 0.142] *","0.101 [0.05, 0.153] *"
"fixed","correction3M2:BFI_extra","—","—","—","—","0.011 [-0.035, 0.057]"
"fixed","correction3M2:Familiarity","—","—","—","—","-0.051 [-0.098, -0.006] *"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.019 [-0.035, 0.074]"
"fixed","correction3M2:modality1","—","—","—","—","0.027 [-0.113, 0.167]"
"fixed","correction3M2:modality2","—","—","—","—","-0.042 [-0.184, 0.1]"
"fixed","expressibility_z","—","-0.025 [-0.058, 0.008]","-0.084 [-0.14, -0.029] *","-0.047 [-0.107, 0.014]","-0.053 [-0.117, 0.01]"
"fixed","modality1","—","0.452 [0.401, 0.503] *","0.452 [0.363, 0.542] *","0.449 [0.357, 0.54] *","0.476 [0.38, 0.573] *"
"fixed","modality1:expressibility_z","—","—","—","—","-0.068 [-0.166, 0.027]"
"fixed","modality2","—","0.528 [0.477, 0.578] *","0.517 [0.423, 0.61] *","0.521 [0.427, 0.615] *","0.518 [0.42, 0.614] *"
"fixed","modality2:expressibility_z","—","—","—","—","-0.015 [-0.115, 0.088]"
"random_sd","sd() | residual__","0.874 [0.856, 0.892]","0.554 [0.542, 0.566]","0.5 [0.488, 0.511]","0.5 [0.488, 0.511]","0.504 [0.493, 0.516]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.06 [0.002, 0.168]","0.059 [0.002, 0.163]","0.06 [0.003, 0.165]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.131 [0.007, 0.293]","0.127 [0.007, 0.281]","0.128 [0.008, 0.286]"
"random_sd","sd(Intercept) | SessionID","—","0.348 [0.252, 0.451]","0.311 [0.18, 0.43]","0.325 [0.213, 0.436]","0.326 [0.211, 0.438]"
"random_sd","sd(Intercept) | concept","—","0.338 [0.287, 0.399]","0.354 [0.303, 0.414]","0.367 [0.312, 0.432]","0.372 [0.317, 0.438]"
"random_sd","sd(Intercept) | pcn_ID","—","0.32 [0.262, 0.391]","0.315 [0.249, 0.395]","0.301 [0.241, 0.373]","0.3 [0.24, 0.374]"
"random_sd","sd(correction2M1) | concept","—","0.064 [0.008, 0.116]","0.051 [0.004, 0.105]","0.039 [0.002, 0.095]","0.039 [0.002, 0.096]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.063 [0.004, 0.129]","0.049 [0.002, 0.11]","0.055 [0.003, 0.116]","0.062 [0.004, 0.125]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.065 [0.003, 0.172]"
"random_sd","sd(correction2M1:modality2) | pcn_ID","—","—","—","—","0.052 [0.002, 0.147]"
"random_sd","sd(correction3M2) | concept","—","0.054 [0.003, 0.119]","0.04 [0.002, 0.095]","0.033 [0.001, 0.088]","0.034 [0.001, 0.092]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.089 [0.008, 0.169]","0.075 [0.008, 0.143]","0.067 [0.005, 0.141]","0.069 [0.004, 0.145]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.069 [0.003, 0.189]"
"random_sd","sd(correction3M2:modality2) | pcn_ID","—","—","—","—","0.072 [0.003, 0.198]"
