"term_type","parameter","Probability of first-attempt success (w/ cumulative effort)","Probability of first-attempt success (w/ instantaneous effort)","Following success (cosine similarity, w/ cumulative effort)","Following success (cosine similarity, w/ instantaneous effort)","How many attempts needed (w/ cumulative effort)","How many attempts needed (w/ instantaneous effort)","Was understanding ever reached (w/ cumulative effort)","Was understanding ever reached (w/ instantaneous effort))"
"model_info","— Model Information —","","","","","","","",""
"model_info","R²","0.443 [0.416, 0.469]","0.446 [0.419, 0.472]","0.065 [0.053, 0.078]","0.067 [0.055, 0.08]","0.467 [0.446, 0.485]","0.468 [0.447, 0.487]","0.413 [0.388, 0.435]","0.414 [0.39, 0.436]"
"model_info","formula","resolved_at_c0 ~ arm_torque_log_c * modality + envelope_log_c * modality + copc_log_c * modality + expressibility_z + Familiarity + BFI_extra + TrialNumber_c + (1 + modality | pcn_ID) + (1 + modality | SessionID) + (1 + modality | concept)","resolved_at_c0 ~ arm_torque_in_log_c * modality + envelope_in_log_c * modality + copc_in_log_c * modality + expressibility_z + Familiarity + BFI_extra + TrialNumber_c + (1 + modality | pcn_ID) + (1 + modality | SessionID) + (1 + modality | concept)","answer_fol_dist ~ arm_torque_log_c * modality + envelope_log_c * modality + copc_log_c * modality + answer_prev_dist_z + expressibility_z + correction + Familiarity + BFI_extra + TrialNumber_c + (1 | pcn_ID) + (1 | SessionID) + (1 | concept)","answer_fol_dist ~ arm_torque_in_log_c * modality + envelope_in_log_c * modality + copc_in_log_c * modality + answer_prev_dist_z + expressibility_z + correction + Familiarity + BFI_extra + TrialNumber_c + (1 | pcn_ID) + (1 | SessionID) + (1 | concept)","resolution_ordered ~ arm_torque_log_c * modality + envelope_log_c * modality + copc_log_c * modality + expressibility_z + Familiarity + BFI_extra + TrialNumber_c + (1 | pcn_ID) + (1 | SessionID) + (1 | concept)","resolution_ordered ~ arm_torque_in_log_c * modality + envelope_in_log_c * modality + copc_in_log_c * modality + expressibility_z + Familiarity + BFI_extra + TrialNumber_c + (1 | pcn_ID) + (1 | SessionID) + (1 | concept)","ever_resolved ~ arm_torque_log_c * modality + envelope_log_c * modality + copc_log_c * modality + expressibility_z + Familiarity + BFI_extra + TrialNumber_c + (1 | pcn_ID) + (1 | SessionID) + (1 | concept)","ever_resolved ~ arm_torque_in_log_c * modality + envelope_in_log_c * modality + copc_in_log_c * modality + expressibility_z + Familiarity + BFI_extra + TrialNumber_c + (1 | pcn_ID) + (1 | SessionID) + (1 | concept)"
"model_info","n_obs","2200","2200","2228","2228","2200","2200","2200","2200"
"fixed","— Fixed Effects —","","","","","","","",""
"fixed","BFI_extra","0.016 [-0.118, 0.151]","0.016 [-0.12, 0.152]","0.022 [-0.031, 0.077]","0.013 [-0.041, 0.068]","0.012 [-0.104, 0.128]","0.014 [-0.1, 0.128]","-0.047 [-0.189, 0.098]","-0.048 [-0.191, 0.096]"
"fixed","Familiarity","-0.006 [-0.149, 0.142]","-0.026 [-0.168, 0.118]","0.047 [-0.008, 0.102]","0.048 [-0.006, 0.105]","0.021 [-0.097, 0.14]","0.035 [-0.087, 0.157]","-0.004 [-0.151, 0.147]","-0.012 [-0.16, 0.136]"
"fixed","Intercept[1]","—","—","—","—","-0.327 [-0.656, 0.001]","-0.269 [-0.582, 0.05]","—","—"
"fixed","Intercept[2]","—","—","—","—","0.623 [0.293, 0.954] *","0.683 [0.371, 1.007] *","—","—"
"fixed","Intercept[3]","—","—","—","—","1.106 [0.772, 1.442] *","1.167 [0.849, 1.496] *","—","—"
"fixed","TrialNumber_c","0.001 [-0.004, 0.005]","0.001 [-0.004, 0.005]","0.001 [-0.001, 0.002]","0 [-0.001, 0.002]","-0.001 [-0.004, 0.002]","-0.001 [-0.004, 0.002]","0 [-0.004, 0.004]","0 [-0.004, 0.004]"
"fixed","answer_prev_dist_z","—","—","0.211 [0.152, 0.269] *","0.213 [0.154, 0.271] *","—","—","—","—"
"fixed","arm_torque_in_log_c","—","-0.184 [-0.607, 0.243]","—","-0.121 [-0.344, 0.098]","—","0.219 [-0.136, 0.571]","—","-0.33 [-0.762, 0.094]"
"fixed","arm_torque_in_log_c:modality1","—","0.08 [-0.566, 0.718]","—","0.245 [-0.066, 0.556]","—","-0.049 [-0.566, 0.474]","—","0.1 [-0.534, 0.743]"
"fixed","arm_torque_in_log_c:modality3","—","0.413 [-0.128, 0.941]","—","0.002 [-0.237, 0.243]","—","-0.424 [-0.859, 0.004]","—","0.473 [-0.026, 0.973]"
"fixed","arm_torque_log_c","-0.154 [-0.487, 0.18]","—","0.036 [-0.154, 0.227]","—","0.215 [-0.06, 0.493]","—","-0.399 [-0.752, -0.041] *","—"
