"term_type","parameter","Arm Torque
(integral)","Envelope
(integral)","COP
(integral)"
"model_info","— Model Information —","","",""
"model_info","R²","0.696 [0.679, 0.711]","0.658 [0.64, 0.676]","0.659 [0.638, 0.68]"
"model_info","formula","arm_moment_sum_change_integral ~ 1 + correction + duration_trial_z + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + expressibility_z + correction + modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","envelope_norm_integral ~ 1 + correction + duration_trial_z + modality + BFI_extra + Familiarity + expressibility_z + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","COPc_integral ~ 1 + correction + duration_trial_z + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_obs","2495","3184","4428"
"fixed","— Fixed Effects —","","",""
"fixed","BFI_extra","0.2% [-5.2%, 6.2%] (β = 0.002 [-0.054, 0.06])","4.5% [-1.3%, 10.6%] (β = 0.044 [-0.013, 0.101])","6.7% [0.2%, 13.7%] (β = 0.064 [0.002, 0.129]) *"
"fixed","Familiarity","-1.7% [-7.7%, 4.8%] (β = -0.017 [-0.08, 0.047])","-4.8% [-10.7%, 1.5%] (β = -0.049 [-0.113, 0.015])","1.9% [-5.7%, 10.5%] (β = 0.019 [-0.059, 0.1])"
"fixed","TrialNumber_c","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002])","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002]) *","0.1% [0%, 0.2%] (β = 0.001 [0, 0.002]) *"
"fixed","correction2M1","7% [2.6%, 11.7%] (β = 0.068 [0.026, 0.111]) *","2.2% [-1%, 5.6%] (β = 0.022 [-0.01, 0.055])","1% [-2.4%, 4.6%] (β = 0.01 [-0.025, 0.045])"
"fixed","correction3M2","3.4% [-2.4%, 9.4%] (β = 0.033 [-0.024, 0.09])","1.2% [-2.3%, 4.8%] (β = 0.012 [-0.023, 0.047])","2.2% [-1.8%, 6.3%] (β = 0.022 [-0.018, 0.061])"
"fixed","duration_trial_z","44.4% [40.9%, 48%] (β = 0.367 [0.343, 0.392]) *","40.6% [38.2%, 43.2%] (β = 0.341 [0.323, 0.359]) *","47.7% [44.8%, 50.7%] (β = 0.39 [0.37, 0.41]) *"
"fixed","expressibility_z","0.3% [-6.3%, 7.3%] (β = 0.003 [-0.065, 0.071])","-5.3% [-9.7%, -0.7%] (β = -0.055 [-0.102, -0.007]) *","1.9% [-3%, 7%] (β = 0.018 [-0.031, 0.068])"
"fixed","modality1","2% [-4.2%, 8.5%] (β = 0.02 [-0.043, 0.082])","20.1% [13.7%, 26.7%] (β = 0.183 [0.129, 0.236]) *","47.4% [36.8%, 58.8%] (β = 0.388 [0.314, 0.463]) *"
"fixed","modality2","—","—","68.7% [55.3%, 83.1%] (β = 0.523 [0.44, 0.605]) *"
"fixed","Intercept","78000.7 [70521.3, 86281.6] (β = 11.264 [11.164, 11.365]) *","231.3 [212.1, 252.1] (β = 5.444 [5.357, 5.53]) *","2852.2 [2566.5, 3167.7] (β = 7.956 [7.85, 8.061]) *"
"random_sd","— Random Effect SDs —","","",""
"random_sd","sd() | residual__","0.407 [0.394, 0.419]","0.34 [0.331, 0.35]","0.432 [0.423, 0.443]"
"random_sd","sd(BFI_extra) | SessionID","0.084 [0.004, 0.186]","0.04 [0.002, 0.113]","0.046 [0.002, 0.13]"
"random_sd","sd(Familiarity) | SessionID","0.062 [0.003, 0.155]","0.072 [0.003, 0.171]","0.13 [0.011, 0.256]"
"random_sd","sd(Intercept) | SessionID","0.17 [0.072, 0.25]","0.101 [0.007, 0.202]","0.154 [0.016, 0.27]"
"random_sd","sd(Intercept) | concept","0.341 [0.29, 0.402]","0.282 [0.241, 0.332]","0.338 [0.288, 0.397]"
"random_sd","sd(Intercept) | pcn_ID","0.208 [0.155, 0.267]","0.275 [0.229, 0.326]","0.286 [0.232, 0.35]"
"random_sd","sd(correction2M1) | concept","0.033 [0.001, 0.086]","0.045 [0.003, 0.093]","0.038 [0.002, 0.087]"
"random_sd","sd(correction2M1) | pcn_ID","0.056 [0.003, 0.119]","0.034 [0.002, 0.08]","0.048 [0.003, 0.1]"
"random_sd","sd(correction3M2) | concept","0.065 [0.004, 0.144]","0.024 [0.001, 0.065]","0.033 [0.001, 0.085]"
"random_sd","sd(correction3M2) | pcn_ID","0.039 [0.002, 0.106]","0.026 [0.001, 0.07]","0.036 [0.002, 0.092]"
"random_sd","sd(expressibility_z) | pcn_ID","0.033 [0.002, 0.071]","0.09 [0.067, 0.114]","0.073 [0.046, 0.099]"
"random_sd","sd(modality1) | concept","0.137 [0.083, 0.191]","0.156 [0.119, 0.198]","0.186 [0.128, 0.247]"
"random_sd","sd(modality1) | pcn_ID","0.207 [0.159, 0.258]","0.163 [0.125, 0.202]","0.252 [0.196, 0.311]"
"random_sd","sd(modality2) | concept","—","—","0.195 [0.139, 0.256]"
"random_sd","sd(modality2) | pcn_ID","—","—","0.308 [0.254, 0.371]"
"random_cor","— Random Effect Correlations —","","",""
