"term_type","parameter","Arm Torque
(integral)","Arm Torque
(peak mean)","Envelope
(integral)","Envelope
(peak mean)","COP
(integral)","COP
(peak mean)"
"fixed","expressibility_z","-8% [-14.6%, -0.9%] (β = -0.083 [-0.158, -0.009]) *","2% [-1.4%, 5.5%] (β = 0.02 [-0.014, 0.054])","-8.8% [-13.5%, -4%] (β = -0.092 [-0.145, -0.041]) *","-13.2% [-19.4%, -6.5%] (β = -0.142 [-0.215, -0.067]) *","-4.6% [-10.1%, 1.4%] (β = -0.047 [-0.107, 0.014])","3.5% [-0.8%, 8%] (β = 0.034 [-0.008, 0.077])"
"fixed","modality1","5.6% [-1.7%, 13.5%] (β = 0.054 [-0.017, 0.126])","-1.1% [-5.7%, 3.8%] (β = -0.011 [-0.059, 0.038])","16.6% [9.4%, 24.3%] (β = 0.154 [0.09, 0.218]) *","25.9% [15.7%, 36.9%] (β = 0.23 [0.146, 0.314]) *","56.7% [42.9%, 71.5%] (β = 0.449 [0.357, 0.54]) *","28.6% [20.6%, 37.4%] (β = 0.252 [0.187, 0.318]) *"
"fixed","modality2","—","—","—","—","68.4% [53.2%, 85%] (β = 0.521 [0.427, 0.615]) *","49.8% [39.8%, 60.6%] (β = 0.404 [0.335, 0.474]) *"
"fixed","Intercept","82959.4 [73173.2, 94028.9] (β = 11.326 [11.201, 11.451]) *","22.8 [21.7, 24] (β = 3.126 [3.076, 3.176]) *","236.5 [213, 262.3] (β = 5.466 [5.361, 5.569]) *","0.1 [0.1, 0.2] (β = -2.004 [-2.128, -1.881]) *","2957.3 [2591.1, 3388.1] (β = 7.992 [7.86, 8.128]) *","1.2 [1.1, 1.3] (β = 0.183 [0.097, 0.269]) *"
"random_sd","— Random Effect SDs —","","","","","",""
"random_sd","sd() | residual__","0.468 [0.454, 0.484]","0.362 [0.351, 0.374]","0.407 [0.396, 0.418]","0.548 [0.532, 0.563]","0.5 [0.488, 0.511]","0.383 [0.374, 0.391]"
"random_sd","sd(BFI_extra) | SessionID","0.098 [0.006, 0.212]","0.082 [0.011, 0.145]","0.061 [0.002, 0.165]","0.048 [0.002, 0.136]","0.059 [0.002, 0.163]","0.039 [0.002, 0.109]"
"random_sd","sd(Familiarity) | SessionID","0.088 [0.005, 0.208]","0.032 [0.001, 0.09]","0.1 [0.005, 0.22]","0.063 [0.003, 0.175]","0.127 [0.007, 0.281]","0.127 [0.018, 0.215]"
"random_sd","sd(Intercept) | SessionID","0.31 [0.223, 0.401]","0.089 [0.016, 0.144]","0.18 [0.024, 0.3]","0.144 [0.016, 0.248]","0.325 [0.213, 0.436]","0.092 [0.006, 0.191]"
"random_sd","sd(Intercept) | concept","0.37 [0.313, 0.438]","0.138 [0.111, 0.169]","0.286 [0.243, 0.338]","0.469 [0.4, 0.55]","0.367 [0.312, 0.432]","0.294 [0.249, 0.346]"
"random_sd","sd(Intercept) | pcn_ID","0.224 [0.159, 0.293]","0.121 [0.074, 0.169]","0.32 [0.26, 0.391]","0.276 [0.22, 0.339]","0.301 [0.241, 0.373]","0.222 [0.18, 0.27]"
"random_sd","sd(correction2M1) | concept","0.032 [0.001, 0.089]","0.031 [0.001, 0.079]","0.041 [0.002, 0.094]","0.103 [0.016, 0.175]","0.039 [0.002, 0.095]","0.045 [0.003, 0.089]"
"random_sd","sd(correction2M1) | pcn_ID","0.132 [0.053, 0.197]","0.055 [0.004, 0.111]","0.058 [0.004, 0.118]","0.039 [0.002, 0.103]","0.055 [0.003, 0.116]","0.028 [0.001, 0.07]"
"random_sd","sd(correction3M2) | concept","0.06 [0.003, 0.149]","0.045 [0.002, 0.11]","0.029 [0.001, 0.079]","0.04 [0.002, 0.11]","0.033 [0.001, 0.088]","0.035 [0.002, 0.085]"
"random_sd","sd(correction3M2) | pcn_ID","0.043 [0.002, 0.118]","0.044 [0.002, 0.111]","0.052 [0.002, 0.119]","0.039 [0.001, 0.105]","0.067 [0.005, 0.141]","0.023 [0.001, 0.063]"
"random_sd","sd(expressibility_z) | pcn_ID","0.041 [0.002, 0.084]","0.024 [0.001, 0.056]","0.115 [0.088, 0.144]","0.111 [0.071, 0.15]","0.091 [0.059, 0.121]","0.048 [0.016, 0.073]"
"random_sd","sd(modality1) | concept","0.162 [0.097, 0.227]","0.074 [0.009, 0.13]","0.17 [0.125, 0.221]","0.241 [0.182, 0.308]","0.252 [0.184, 0.327]","0.161 [0.11, 0.214]"
"random_sd","sd(modality1) | pcn_ID","0.238 [0.183, 0.296]","0.162 [0.12, 0.206]","0.211 [0.166, 0.261]","0.257 [0.198, 0.322]","0.305 [0.242, 0.376]","0.22 [0.173, 0.272]"
"random_sd","sd(modality2) | concept","—","—","—","—","0.215 [0.145, 0.288]","0.164 [0.114, 0.217]"
"random_sd","sd(modality2) | pcn_ID","—","—","—","—","0.358 [0.293, 0.429]","0.248 [0.2, 0.3]"
"random_cor","— Random Effect Correlations —","","","","","",""
