"term_type","parameter","m0","m1","m2","m3","m4"
"model_info","R2","0.001 [0, 0.002]","0.458 [0.424, 0.489]","0.494 [0.463, 0.523]","0.497 [0.466, 0.526]","0.489 [0.458, 0.518]"
"model_info","formula","envelope_norm_peak_mean ~ 1 + correction","envelope_norm_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction | pcn_ID) + (1 | SessionID) + (1 + correction | concept)","envelope_norm_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z | pcn_ID) + (1 + Familiarity + BFI_extra | SessionID) + (1 + correction + modality | concept)","envelope_norm_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + (1 + correction + modality + expressibility_z || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)","envelope_norm_peak_mean ~ 1 + correction + modality + expressibility_z + BFI_extra + Familiarity + TrialNumber_c + correction:modality + correction:expressibility_z + modality:expressibility_z + correction:BFI_extra + correction:Familiarity + (1 + correction + modality + correction:modality || pcn_ID) + (1 + Familiarity + BFI_extra || SessionID) + (1 + correction + modality || concept)"
"model_info","n_obs","3184","3184","3184","3184","3184"
"fixed","Intercept","-1.996 [-2.025, -1.966] *","-1.998 [-2.122, -1.874] *","-2.004 [-2.126, -1.879] *","-2.004 [-2.128, -1.881] *","-2.012 [-2.134, -1.889] *"
"fixed","BFI_extra","—","0.03 [-0.029, 0.088]","0.028 [-0.032, 0.089]","0.034 [-0.029, 0.096]","0.036 [-0.027, 0.098]"
"fixed","Familiarity","—","-0.065 [-0.13, 0] *","-0.063 [-0.132, 0.007]","-0.068 [-0.137, 0.002]","-0.062 [-0.13, 0.009]"
"fixed","TrialNumber_c","—","0.002 [0.001, 0.003] *","0.002 [0.001, 0.003] *","0.002 [0.001, 0.003] *","0.002 [0.001, 0.003] *"
"fixed","correction2M1","-0.006 [-0.069, 0.059]","-0.052 [-0.107, 0.001]","-0.054 [-0.107, -0.002] *","-0.053 [-0.106, 0] *","-0.055 [-0.109, 0]"
"fixed","correction2M1:BFI_extra","—","—","—","—","0.016 [-0.031, 0.063]"
"fixed","correction2M1:Familiarity","—","—","—","—","0.061 [0.014, 0.108] *"
"fixed","correction2M1:expressibility_z","—","—","—","—","-0.015 [-0.075, 0.045]"
"fixed","correction2M1:modality1","—","—","—","—","0.035 [-0.063, 0.134]"
"fixed","correction3M2","0.012 [-0.063, 0.088]","-0.022 [-0.081, 0.036]","-0.018 [-0.073, 0.038]","-0.018 [-0.074, 0.038]","-0.024 [-0.087, 0.038]"
"fixed","correction3M2:BFI_extra","—","—","—","—","-0.007 [-0.063, 0.049]"
"fixed","correction3M2:Familiarity","—","—","—","—","-0.04 [-0.096, 0.016]"
"fixed","correction3M2:expressibility_z","—","—","—","—","0.001 [-0.069, 0.07]"
"fixed","correction3M2:modality1","—","—","—","—","0.016 [-0.106, 0.136]"
"fixed","expressibility_z","—","-0.156 [-0.203, -0.108] *","-0.147 [-0.219, -0.074] *","-0.142 [-0.215, -0.067] *","-0.12 [-0.197, -0.041] *"
"fixed","modality1","—","0.233 [0.188, 0.277] *","0.23 [0.145, 0.313] *","0.23 [0.146, 0.314] *","0.25 [0.164, 0.337] *"
"fixed","modality1:expressibility_z","—","—","—","—","-0.086 [-0.193, 0.02]"
"random_sd","sd() | residual__","0.794 [0.775, 0.815]","0.579 [0.565, 0.594]","0.548 [0.534, 0.563]","0.548 [0.532, 0.563]","0.554 [0.54, 0.569]"
"random_sd","sd(BFI_extra) | SessionID","—","—","0.047 [0.002, 0.129]","0.048 [0.002, 0.136]","0.047 [0.002, 0.132]"
"random_sd","sd(Familiarity) | SessionID","—","—","0.064 [0.003, 0.173]","0.063 [0.003, 0.175]","0.061 [0.002, 0.171]"
"random_sd","sd(Intercept) | SessionID","—","0.145 [0.02, 0.24]","0.154 [0.026, 0.253]","0.144 [0.016, 0.248]","0.141 [0.016, 0.243]"
"random_sd","sd(Intercept) | concept","—","0.477 [0.406, 0.561]","0.471 [0.399, 0.556]","0.469 [0.4, 0.55]","0.471 [0.401, 0.554]"
"random_sd","sd(Intercept) | pcn_ID","—","0.283 [0.226, 0.345]","0.276 [0.219, 0.34]","0.276 [0.22, 0.339]","0.28 [0.224, 0.342]"
"random_sd","sd(correction2M1) | concept","—","0.089 [0.008, 0.17]","0.095 [0.01, 0.172]","0.103 [0.016, 0.175]","0.098 [0.012, 0.173]"
"random_sd","sd(correction2M1) | pcn_ID","—","0.038 [0.002, 0.1]","0.036 [0.001, 0.097]","0.039 [0.002, 0.103]","0.036 [0.001, 0.097]"
"random_sd","sd(correction2M1:modality1) | pcn_ID","—","—","—","—","0.071 [0.003, 0.191]"
"random_sd","sd(correction3M2) | concept","—","0.039 [0.002, 0.108]","0.037 [0.002, 0.104]","0.04 [0.002, 0.11]","0.041 [0.002, 0.113]"
"random_sd","sd(correction3M2) | pcn_ID","—","0.037 [0.001, 0.103]","0.04 [0.002, 0.108]","0.039 [0.001, 0.105]","0.039 [0.002, 0.105]"
"random_sd","sd(correction3M2:modality1) | pcn_ID","—","—","—","—","0.066 [0.003, 0.184]"
"random_sd","sd(expressibility_z) | pcn_ID","—","—","0.11 [0.07, 0.149]","0.111 [0.071, 0.15]","—"
"random_sd","sd(modality1) | concept","—","—","0.242 [0.18, 0.309]","0.241 [0.182, 0.308]","0.233 [0.173, 0.301]"
"random_sd","sd(modality1) | pcn_ID","—","—","0.263 [0.202, 0.328]","0.257 [0.198, 0.322]","0.259 [0.199, 0.322]"
"random_cor","cor(Familiarity x BFI_extra) | SessionID","—","—","0.006 [-0.597, 0.607]","—","—"
"random_cor","cor(Intercept x BFI_extra) | SessionID","—","—","0.088 [-0.532, 0.651]","—","—"
"random_cor","cor(Intercept x Familiarity) | SessionID","—","—","0.111 [-0.510, 0.666]","—","—"
"random_cor","cor(Intercept x correction2M1) | concept","—","-0.052 [-0.509, 0.418]","-0.118 [-0.532, 0.328]","—","—"
"random_cor","cor(Intercept x correction2M1) | pcn_ID","—","-0.023 [-0.598, 0.550]","-0.059 [-0.575, 0.482]","—","—"
"random_cor","cor(Intercept x correction3M2) | concept","—","0.025 [-0.558, 0.602]","-0.001 [-0.555, 0.566]","—","—"
"random_cor","cor(Intercept x correction3M2) | pcn_ID","—","0.020 [-0.580, 0.594]","0.020 [-0.520, 0.549]","—","—"
"random_cor","cor(Intercept x expressibility_z) | pcn_ID","—","—","-0.156 [-0.475, 0.164]","—","—"
"random_cor","cor(Intercept x modality1) | concept","—","—","0.059 [-0.208, 0.320]","—","—"
