Time,TrialID,upper_body,head_mov,arms,lower_body,movement_in_trial
0.0,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
16.6666666666666,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
33.3333333333333,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
50.0,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
66.6666666666666,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
83.3333333333333,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
99.9999999999999,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
116.6666666666666,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
133.33333333333331,0_2_110_p1,nomovement,nomovement,nomovement,nomovement,nomovement
150.0,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
166.6666666666666,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
183.3333333333333,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
199.9999999999999,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
216.6666666666666,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
233.3333333333333,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
249.9999999999999,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
266.66666666666663,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
283.3333333333333,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
300.0,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
316.6666666666666,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
333.3333333333333,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
350.0,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
366.6666666666666,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
383.3333333333333,0_2_110_p1,nomovement,nomovement,nomovement,movement,movement
399.9999999999999,0_2_110_p1,movement,nomovement,nomovement,movement,movement
416.6666666666666,0_2_110_p1,movement,nomovement,nomovement,movement,movement
433.3333333333333,0_2_110_p1,movement,nomovement,nomovement,movement,movement
449.9999999999999,0_2_110_p1,movement,nomovement,nomovement,movement,movement
466.6666666666666,0_2_110_p1,movement,nomovement,nomovement,movement,movement
483.33333333333326,0_2_110_p1,movement,nomovement,nomovement,movement,movement
499.9999999999999,0_2_110_p1,movement,nomovement,nomovement,movement,movement
516.6666666666666,0_2_110_p1,movement,nomovement,nomovement,movement,movement
533.3333333333334,0_2_110_p1,movement,nomovement,nomovement,movement,movement
550.0,0_2_110_p1,movement,nomovement,nomovement,movement,movement
566.6666666666667,0_2_110_p1,movement,nomovement,nomovement,movement,movement
583.3333333333335,0_2_110_p1,movement,nomovement,nomovement,movement,movement
600.0000000000002,0_2_110_p1,movement,nomovement,nomovement,movement,movement
616.666666666667,0_2_110_p1,movement,nomovement,nomovement,movement,movement
633.3333333333336,0_2_110_p1,movement,nomovement,nomovement,movement,movement
650.0000000000003,0_2_110_p1,movement,nomovement,nomovement,movement,movement
666.6666666666671,0_2_110_p1,movement,nomovement,nomovement,movement,movement
683.3333333333338,0_2_110_p1,movement,nomovement,nomovement,movement,movement
700.0000000000005,0_2_110_p1,movement,nomovement,nomovement,movement,movement
716.6666666666672,0_2_110_p1,movement,nomovement,nomovement,movement,movement
733.3333333333339,0_2_110_p1,movement,nomovement,nomovement,movement,movement
750.0000000000007,0_2_110_p1,movement,nomovement,nomovement,movement,movement
