0
"['lowerbody_moment_sum_change_integral', 'leg_jerkKin_sum_peak_mean', 'lowerbody_inter_IK', 'lowerbody_jerkKin_sum_Gmean', 'leg_inter_Kin', 'leg_angSpeed_sum_Gmean', 'lowerbody_inter_Kin', 'leg_angSpeed_sum_Gstd', 'lowerbody_accKin_sum_Gmean', 'lowerbody_speedKin_sum_Gmean']"
"['pelvis_moment_sum_change_rate', 'head_jerkKin_sum_Gmean', 'head_accKin_sum_Gmean', 'head_speedKin_sum_Gmean', 'head_power_Gstd', 'head_jerkKin_sum_Gstd', 'arm_moment_sum_rate', 'head_power_Gmean', 'head_power_range', 'arm_moment_sum_change_rate']"
"['bbmv_rate', 'bbmv_total', 'lowerbody_bbmv', 'leg_bbmv', 'pelvis_moment_sum_Gmean', 'leg_bbmv_rate', 'lowerbody_bbmv_rate', 'pelvis_moment_sum_integral', 'pelvis_moment_sum_peak_mean', 'leg_power_range']"
"['leg_power_rate', 'spine_moment_sum_change_peak_mean', 'leg_power_Gmean', 'spine_moment_sum_change_peak_std', 'COPc_Gmean', 'arm_power_rate', 'arm_angAcc_sum_Gstd', 'COPc_Gstd', 'spine_moment_sum_change_Gmean', 'COPc_rate']"
"['arm_moment_sum_peak_mean', 'leg_moment_sum_rate', 'lowerbody_moment_sum_rate', 'leg_angSpeed_sum_rate', 'COPc_sampen', 'lowerbody_power_peak_std', 'leg_angAcc_sum_rate', 'leg_angJerk_sum_rate', 'lowerbody_angSpeed_sum_rate', 'arm_accKin_sum_peak_std']"
"['lowerbody_power_Gmean', 'lowerbody_power_Gstd', 'head_angSpeed_sum_peak_mean', 'head_angAcc_sum_peak_mean', 'lowerbody_angSpeed_sum_Gstd', 'head_angSpeed_sum_peak_std', 'lowerbody_power_range', 'leg_moment_sum_change_range', 'lowerbody_angSpeed_sum_range', 'lowerbody_power_peak_mean']"
"['lowerbody_power_peak_mean', 'arm_power_sampen', 'head_moment_sum_change_rate', 'head_moment_sum_rate', 'lowerbody_power_rate', 'head_angAcc_sum_rate', 'head_angSpeed_sum_rate', 'head_angJerk_sum_rate', 'head_speedKin_sum_sampen', 'arm_power_rate']"
"['arm_angJerk_sum_sampen', 'head_angSpeed_sum_Gstd', 'arm_angAcc_sum_sampen', 'arm_speedKin_sum_Gstd', 'head_angSpeed_sum_range', 'head_angAcc_sum_Gstd', 'arm_accKin_sum_Gmean', 'head_angAcc_sum_range', 'leg_moment_sum_change_sampen', 'arm_accKin_sum_rate']"
"['arm_accKin_sum_peak_std', 'lowerbody_jerkKin_sum_peak_std', 'head_bbmv', 'arm_accKin_sum_sampen', 'lowerbody_bbmv_rate', 'leg_bbmv_rate', 'arm_power_Gstd', 'lowerbody_accKin_sum_peak_std', 'bbmv_total', 'arm_angSpeed_sum_peak_std']"
"['arm_speedKin_sum_Gstd', 'arm_jerkKin_sum_range', 'leg_moment_sum_change_peak_std', 'arm_accKin_sum_peak_std', 'head_moment_sum_sampen', 'arm_moment_sum_Gstd', 'arm_accKin_sum_Gstd', 'lowerbody_jerkKin_sum_peak_std', 'arm_accKin_sum_peak_mean', 'head_accKin_sum_rate']"
"['arm_moment_sum_peak_std', 'arm_speedKin_sum_range', 'arm_moment_sum_Gstd', 'arm_moment_sum_range', 'pelvis_moment_sum_Gmean', 'pelvis_moment_sum_peak_n', 'arm_jerkKin_sum_range', 'arm_accKin_sum_range', 'leg_speedKin_sum_sampen', 'arm_slope_80']"
"['leg_power_peak_std', 'lowerbody_power_sampen', 'lowerbody_angJerk_sum_peak_std', 'arm_moment_sum_change_sampen', 'leg_power_peak_mean', 'lowerbody_moment_sum_change_peak_std', 'leg_moment_sum_change_sampen', 'lowerbody_jerkKin_sum_peak_n', 'arm_moment_sum_sampen', 'pelvis_moment_sum_change_peak_std']"
"['arm_angSpeed_sum_peak_std', 'arm_slope_80', 'arm_slope_95', 'pelvis_moment_sum_change_range', 'spine_moment_sum_peak_mean', 'arm_speedKin_sum_Gstd', 'leg_power_peak_std', 'arm_power_peak_std', 'spine_moment_sum_peak_std', 'head_angJerk_sum_peak_n']"
"['lowerbody_power_sampen', 'head_moment_sum_peak_mean', 'body_nComp_80', 'head_moment_sum_change_sampen', 'arm_moment_sum_change_sampen', 'pelvis_moment_sum_change_sampen', 'arm_power_peak_std', 'lowerbody_jerkKin_sum_peak_mean', 'head_jerkKin_sum_sampen', 'head_inter_Kin']"
"['head_angAcc_sum_peak_std', 'arm_accKin_sum_peak_std', 'leg_power_peak_n', 'arm_slope_80', 'head_angJerk_sum_peak_std', 'head_moment_sum_sampen', 'head_power_sampen', 'duration_voc', 'arm_slope_95', 'arm_moment_sum_change_sampen']"
"['duration_voc', 'COPc_peak_std', 'arm_power_peak_std', 'arm_power_peak_mean', 'head_accKin_sum_peak_std', 'head_power_peak_mean', 'head_power_peak_std', 'COPc_peak_mean', 'arm_angAcc_sum_peak_std', 'arm_angAcc_sum_peak_mean']"
"['arm_moment_sum_peak_mean', 'leg_moment_sum_change_peak_std', 'lowerbody_moment_sum_change_peak_std', 'arm_moment_sum_range', 'head_angJerk_sum_sampen', 'head_angAcc_sum_sampen', 'lowerbody_jerkKin_sum_peak_mean', 'head_power_sampen', 'pelvis_moment_sum_change_peak_std', 'lowerbody_moment_sum_change_peak_mean']"
"['lowerbody_moment_sum_peak_std', 'leg_moment_sum_peak_std', 'arm_moment_sum_sampen', 'spine_moment_sum_sampen', 'head_accKin_sum_peak_mean', 'arm_angSpeed_sum_peak_std', 'arm_moment_sum_change_Gmean', 'arm_moment_sum_peak_n', 'head_angSpeed_sum_peak_std', 'arm_moment_sum_change_integral']"
"['head_power_sampen', 'arm_speedKin_sum_peak_std', 'arm_moment_sum_change_sampen', 'arm_moment_sum_change_peak_n', 'lowerbody_angJerk_sum_sampen', 'lowerbody_angAcc_sum_sampen', 'leg_speedKin_sum_peak_std', 'arm_jerkKin_sum_peak_std', 'pelvis_moment_sum_peak_std', 'arm_moment_sum_peak_std']"
"['spine_moment_sum_change_sampen', 'lowerbody_moment_sum_change_peak_std', 'body_nComp_80', 'arm_angJerk_sum_peak_n', 'arm_moment_sum_Gstd', 'arm_jerkKin_sum_peak_n', 'leg_moment_sum_change_peak_std', 'head_moment_sum_peak_n', 'lowerbody_moment_sum_change_peak_mean', 'arm_power_range']"
"['arm_inter_IK', 'leg_bbmv_rate', 'head_inter_Kin', 'lowerbody_bbmv', 'head_duration', 'leg_speedKin_sum_peak_std', 'lowerbody_jerkKin_sum_range', 'arm_angSpeed_sum_range', 'leg_duration', 'spine_moment_sum_change_Gmean']"
